spf_pass,dkim_pass,dmarc_pass,sender_domain_age,url_count,has_shortener_urls,has_ip_based_urls,suspicious_keyword_count,urgency_score,capitalization_ratio,special_char_ratio,html_tag_count,has_email_form,avg_word_length,unique_word_ratio,has_urgency_words,additional_feature,label
1,1,0,5,1,0,0,0,0.18018286276387083,0.14113130345070973,0.08268388837118774,15,0,5.302465954082984,0.6319779090923971,0,0.657845304603036,0
1,0,1,5,0,0,0,0,0.23471564521748203,0.08505243914800016,0.07384492092513266,3,0,5.301023295583431,0.8295572593667354,0,0.9256748308807118,0
1,1,1,7,0,0,0,2,0.11270167556451793,0.04453039118404212,0.06490746587943931,14,0,5.260417496658288,0.7829495416496084,0,0.5634389273484588,0
1,1,1,5,2,0,0,1,0.02195877713053309,0.09051728900720668,0.06682127985550163,9,0,5.518688655845732,0.7501335927392224,0,0.5423636649797383,0
1,1,1,9,1,0,0,0,0.1140586856357571,0.05982341713453507,0.05801723692273323,11,0,4.953390950082318,0.718309597145505,0,0.5494142384304533,0
1,1,1,9,2,0,0,2,0.002268862493442636,0.09712120712319045,0.0898030548949987,3,0,5.854069089592613,0.6180802170868682,0,0.9344360268055143,0
1,0,1,9,1,0,0,2,0.27888176322659675,0.07983903200085603,0.058093205326279776,9,0,5.220667566621836,0.8148452022669581,0,0.27262400073353377,0
1,0,0,8,1,0,0,2,0.15754901510011804,0.1063569392583649,0.010687692309474384,9,0,4.370456893094819,0.8753257467514133,0,0.4245274251963619,0
0,1,1,9,1,0,0,2,0.2854210026619971,0.09024177302194968,0.08191888594267903,8,0,5.587487700761033,0.793981774026858,0,0.17477344282737717,0
1,1,1,5,1,0,0,2,0.23415765457315854,0.04122090533222041,0.08226143185136785,6,0,5.335099798582941,0.6286605941504004,0,0.623859324676573,0
1,1,0,7,1,0,0,0,0.06502194002723269,0.014357183328024258,0.00236385860463364,14,0,4.46049233685574,0.6618558493555279,0,0.6379607933159701,0
1,1,0,5,1,0,0,2,0.1791140750687075,0.10137618676310639,0.044271696677952714,6,0,5.449033702797236,0.6047463275296747,0,0.34109002447422054,0
1,1,1,9,1,0,0,0,0.2682572623992355,0.028780098707811435,0.03233715621155208,5,0,4.709992611663875,0.6208271528238279,0,0.5190597909082704,0
0,1,1,9,1,0,0,1,0.20403957933103542,0.03462437837310181,0.04568586448803687,5,0,4.104677751573017,0.7135429270457607,0,0.362944271845992,0
1,1,1,8,1,0,0,0,0.05259088270729789,0.10350073362309986,0.02009336886590565,15,0,4.818955706010408,0.7268067340188569,0,0.8218064439010868,0
0,1,1,7,1,0,0,0,0.035948700605293905,0.14612469429420233,0.002002635592582447,19,0,5.854001935848591,0.7619871390841679,0,0.8420332943764213,0
1,1,0,5,0,0,0,1,0.04779120618569409,0.009466354961872524,0.011764902847355863,17,0,4.6833490037938414,0.7142728576532962,0,0.34632176858900354,0
1,1,1,6,1,0,0,2,0.048529263405632884,0.11794139351356417,0.05745873823177666,4,0,4.782085526116349,0.7503458997546029,0,0.39717877742921104,0
1,1,1,6,1,0,0,1,0.24177762003528633,0.1185045654460592,0.03046791390980408,8,0,4.645055955692831,0.606868147492836,0,0.1537911496680311,0
